(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
10	10	0	5e-06	0.4	2.82828e-06	-0.609442163	9.88655e-05	3.98107e-05	0.000196672	0.000515922	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.609845387	0.0001062094	4.16869e-05	0.000205946	0.000540208	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.610226352	0.0001137426	4.36516e-05	0.000215657	0.000565635	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.610584999	0.0001214804	4.57088e-05	0.000225826	0.000592257	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.610922266	0.0001294399	4.7863e-05	0.000236476	0.000620131	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.611240089	0.0001376347	5.01187e-05	0.000247627	0.000649315	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.611539399	0.00014608149999999998	5.24807e-05	0.000259305	0.00067987	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6118191270000001	0.00015479749999999998	5.49541e-05	0.000271534	0.000711861	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.612082198	0.00016379779999999998	5.7544e-05	0.00028434	0.000745355	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.612329534	0.0001730983	6.0256e-05	0.000297751	0.000780423	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.612560055	0.00018271759999999998	6.30957e-05	0.000311794	0.000817137	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.612775674	0.0001926714	6.60693e-05	0.000326501	0.000855575	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6129763039999999	0.0002029789	6.91831e-05	0.000341901	0.000895818	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61316285	0.00021365550000000002	7.24436e-05	0.000358029	0.00093795	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6133362200000001	0.0002247212	7.58578e-05	0.000374918	0.00098206	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6134963	0.00023619310000000003	7.94328e-05	0.000392605	0.00102824	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.613644	0.00024809	8.31764e-05	0.000411127	0.00107659	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61378019	0.0002604326	8.70964e-05	0.000430524	0.0011272	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61390377	0.00027323859999999996	9.12011e-05	0.000450836	0.00118019	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61401661	0.0002865277	9.54993e-05	0.000472109	0.00123566	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6141175799999999	0.0003003212	0.0001	0.000494386	0.00129373	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61420755	0.0003146385	0.000104713	0.000517716	0.00135453	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61428738	0.000329501	0.000109648	0.000542148	0.00141817	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6143569200000001	0.00034492899	0.000114815	0.000567735	0.00148479	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61441602	0.00036094454000000004	0.000120226	0.000594532	0.00155454	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61446552	0.00037756779	0.000125893	0.000622595	0.00162755	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61450426	0.00039482181	0.000131826	0.000651985	0.00170398	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6145340499999999	0.00041272859	0.000138038	0.000682764	0.00178398	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61455471	0.00043130908	0.000144544	0.000714999	0.00186773	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61456506	0.00045058618	0.000151356	0.000748759	0.00195539	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61456588	0.00047058171999999997	0.000158489	0.000784117	0.00204715	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61455698	0.00049131852	0.000165959	0.000821147	0.0021432	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61453913	0.00051281834	0.00017378	0.000859929	0.00224374	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61451111	0.00053510189	0.00018197	0.000900548	0.00234897	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61447366	0.00055819288	0.000190546	0.00094309	0.00245912	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6144275499999999	0.00058211194	0.000199526	0.000987646	0.00257441	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61437051	0.0006068797	0.00020893	0.00103431	0.00269507	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61430526	0.00063251774	0.000218776	0.00108319	0.00282137	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61422852	0.00065904462	0.000229087	0.00113438	0.00295355	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6141429899999999	0.00068648088	0.000239883	0.00118801	0.00309189	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61404636	0.0007148450099999999	0.000251189	0.00124417	0.00323667	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6139403	0.00074415349	0.000263027	0.001303	0.0033882	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61382346	0.0007744237900000001	0.000275423	0.00136461	0.00354677	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6136954800000001	0.00080567132	0.000288403	0.00142916	0.00371273	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.613557	0.0008379085100000001	0.000301995	0.00149676	0.0038864	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61340662	0.0008711477399999999	0.000316228	0.00156758	0.00406814	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61324493	0.00090540139	0.000331131	0.00164176	0.00425832	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6130705	0.00094067681	0.000346737	0.00171947	0.00445733	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6128849000000001	0.00097698134	0.000363078	0.00180087	0.00466558	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6126866400000001	0.0010143193	0.000380189	0.00188614	0.00488349	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6124742400000001	0.0010526899899999998	0.000398107	0.00197547	0.00511151	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61224919	0.00109209471	0.000416869	0.00206905	0.00535009	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6120099499999999	0.00113254373	0.000436516	0.00216709	0.00559972	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61175697	0.00117400732	0.000457088	0.0022698	0.00586091	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6114886700000001	0.0012164857200000002	0.00047863	0.00237741	0.00613418	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61120443	0.00125996919	0.000501187	0.00249015	0.0064201	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61090461	0.00130443793	0.000524807	0.00260828	0.00671924	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6105885499999999	0.00134988219	0.000549541	0.00273204	0.0070322	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.61025455	0.0013962621500000002	0.00057544	0.00286172	0.00735962	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.60990288	0.00144355802	0.00060256	0.0029976	0.00770215	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.60953278	0.00149172998	0.000630957	0.00313998	0.0080605	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.60914344	0.00154075822	0.000660693	0.00328918	0.00843538	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.60873404	0.0015905929	0.000691831	0.00344553	0.00882756	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6083037	0.0016411842	0.000724436	0.00360938	0.00923782	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6078505	0.00169248225	0.000758578	0.0037811	0.009667	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6073755	0.00174443722	0.000794328	0.00396106	0.010116	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.6068766999999999	0.00179698924	0.000831764	0.00414967	0.0105856	10	0.001
