(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
0	0	100	5e-06	0.4	6.95696e-05	0.0207471	0.000115004	0.0001	1.39782	0.0188241	10	0.001
0	0	100	5e-06	0.4	7.28749e-05	0.0205806	0.000119795	0.0001	1.33294	0.0186731	10	0.001
0	0	100	5e-06	0.4	7.63371e-05	0.0204086	0.000124752	0.0001	1.27103	0.018517	10	0.001
0	0	100	5e-06	0.4	7.99638e-05	0.0202309	0.000129877	0.0001	1.21196	0.0183559	10	0.001
0	0	100	5e-06	0.4	8.37629e-05	0.0200476	0.000135171	0.0001	1.15559	0.0181896	10	0.001
0	0	100	5e-06	0.4	8.77424e-05	0.0198586	0.000140637	0.0001	1.1018	0.0180181	10	0.001
0	0	100	5e-06	0.4	9.1911e-05	0.0196639	0.000146277	0.0001	1.05049	0.0178414	10	0.001
0	0	100	5e-06	0.4	9.62776e-05	0.0194634	0.00015209	0.0001	1.00152	0.0176596	10	0.001
0	0	100	5e-06	0.4	0.000100852	0.0192571	0.000158078	0.0001	0.954807	0.0174725	10	0.001
0	0	100	5e-06	0.4	0.000105643	0.0190452	0.000164241	0.0001	0.91024	0.0172802	10	0.001
0	0	100	5e-06	0.4	0.000110662	0.0188275	0.000170578	0.0001	0.867723	0.0170828	10	0.001
0	0	100	5e-06	0.4	0.00011592	0.0186043	0.000177088	0.0001	0.827164	0.0168802	10	0.001
0	0	100	5e-06	0.4	0.000121427	0.0183755	0.000183769	0.0001	0.788475	0.0166727	10	0.001
0	0	100	5e-06	0.4	0.000127196	0.0181413	0.000190619	0.0001	0.75157	0.0164602	10	0.001
0	0	100	5e-06	0.4	0.000133239	0.0179018	0.000197635	0.0001	0.71637	0.016243	10	0.001
0	0	100	5e-06	0.4	0.000139569	0.0176572	0.000204814	0.0001	0.682796	0.016021	10	0.001
0	0	100	5e-06	0.4	0.0001462	0.0174076	0.00021215	0.0001	0.650777	0.0157946	10	0.001
0	0	100	5e-06	0.4	0.000153146	0.0171532	0.000219638	0.0001	0.62024	0.0155638	10	0.001
