(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
0	0	100	1e-07	0.4	1e-05	0.0800911	6.17823e-06	0.00047863	47.7102	0.0726583	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0801225	5.90027e-06	0.000501187	49.9658	0.0726868	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0801525	5.63481e-06	0.000524807	52.3278	0.072714	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0801811	5.38129e-06	0.000549541	54.8011	0.0727399	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0802085	5.13917e-06	0.00057544	57.3909	0.0727648	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0802346	4.90794e-06	0.00060256	60.1029	0.0727885	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0802596	4.68711e-06	0.000630957	62.9426	0.0728111	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0802834	4.47621e-06	0.000660693	65.9162	0.0728327	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0803062	4.2748e-06	0.000691831	69.0299	0.0728534	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0803279	4.08245e-06	0.000724436	72.2903	0.0728731	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0803487	3.89875e-06	0.000758578	75.7044	0.072892	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0803685	3.72332e-06	0.000794328	79.2795	0.0729099	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0803874	3.55578e-06	0.000831764	83.023	0.0729271	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0804055	3.39577e-06	0.000870964	86.9429	0.0729435	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0804228	3.24297e-06	0.000912011	91.0476	0.0729592	10	10	0.001
