(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
10	10	0	5e-06	0.4	2.7e-06	0.00295956	0.0005972081	0.000229087	0.00113439	0.00295357	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.003111794	0.0006244178	0.000239883	0.00118801	0.00309191	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.0032711199999999998	0.0006525665	0.000251189	0.00124417	0.00323669	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.003437877	0.0006816702	0.000263027	0.001303	0.00338822	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.0036123950000000004	0.0007117459	0.000275423	0.00136462	0.00354679	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.0037950339999999996	0.0007428087	0.000288403	0.00142916	0.00371275	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.003986180999999999	0.0007748704	0.000301995	0.00149677	0.00388642	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.004186207999999999	0.0008079441	0.000316228	0.00156759	0.00406816	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.004395532	0.0008420398	0.000331131	0.00164177	0.00425834	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.004614574000000001	0.0008771655	0.000346737	0.00171947	0.00445736	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.004843792	0.0009133282	0.000363078	0.00180088	0.00466561	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.005083656	0.0009505269	0.000380189	0.00188615	0.00488352	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.0053346339999999996	0.0009887806	0.000398107	0.00197548	0.00511154	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.005597246	0.0010280653	0.000416869	0.00206906	0.00535012	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.005872031	0.0010683910000000001	0.000436516	0.0021671	0.00559975	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.0061595370000000005	0.0011097478	0.000457088	0.00226981	0.00586094	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.006460345	0.0011521256000000001	0.00047863	0.00237742	0.00613422	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.006775082	0.0011955245	0.000501187	0.00249017	0.00642014	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.007104368	0.0012399044	0.000524807	0.00260829	0.00671928	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.007448872	0.0012852555	0.000549541	0.00273205	0.00703224	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.007809292	0.0013315577000000002	0.00057544	0.00286173	0.00735966	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.008186357	0.0013787811	0.00060256	0.00299761	0.0077022	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.008580836	0.0014268956	0.000630957	0.00314	0.00806055	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.008993508	0.0014758614	0.000660693	0.0032892	0.00843544	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.009425231000000001	0.0015256383999999999	0.000691831	0.00344555	0.00882762	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.009876893000000001	0.0015761767	0.000724436	0.0036094	0.00923788	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.010349344	0.0016274263	0.000758578	0.00378111	0.00966706	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.010843561	0.0016793373	0.000794328	0.00396108	0.010116	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.011360542	0.0017318497	0.000831764	0.00414969	0.0105857	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.011901387	0.0017848936	0.000870964	0.00434739	0.011077	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.012467093	0.001838409	0.000912011	0.00455461	0.0115909	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.013058858999999999	0.0018923159999999998	0.000954993	0.00477182	0.0121285	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.013677982	0.0019465244999999998	0.001	0.00499952	0.0126909	10	0.001

10	10	0	5e-06	0.4	2.82828e-06	-0.00012048199999999996	-2.74269e-05	1e-05	4.93836e-05	0.000129706	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.00011496900000000003	-2.61637e-05	1.04713e-05	5.17113e-05	0.000135817	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.00010909500000000003	-2.48191e-05	1.09648e-05	5.41487e-05	0.000142216	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.00010284899999999999	-2.3389999999999998e-05	1.14815e-05	5.67011e-05	0.000148916	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-9.621300000000002e-05	-2.1873400000000006e-05	1.20226e-05	5.93737e-05	0.000155932	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-8.9174e-05	-2.0265900000000005e-05	1.25893e-05	6.21723e-05	0.000163278	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-8.171600000000002e-05	-1.85638e-05	1.31826e-05	6.51029e-05	0.00017097	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-7.382000000000002e-05	-1.6763800000000004e-05	1.38038e-05	6.81716e-05	0.000179024	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-6.547200000000001e-05	-1.48618e-05	1.44544e-05	7.1385e-05	0.000187458	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-5.664899999999998e-05	-1.2853899999999996e-05	1.51356e-05	7.47499e-05	0.000196289	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-4.733600000000001e-05	-1.0735899999999993e-05	1.58489e-05	7.82735e-05	0.000205535	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-3.750900000000002e-05	-8.503399999999997e-06	1.65959e-05	8.19631e-05	0.000215217	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-2.7148999999999967e-05	-6.151800000000004e-06	1.7378e-05	8.58268e-05	0.000225355	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-1.623200000000003e-05	-3.676199999999997e-06	1.8197e-05	8.98726e-05	0.00023597	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-4.735000000000015e-06	-1.071799999999992e-06	1.90546e-05	9.41091e-05	0.000247084	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	7.368000000000001e-06	1.6669000000000026e-06	1.99526e-05	9.85454e-05	0.000258722	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	2.0102000000000032e-05	4.545199999999992e-06	2.0893e-05	0.000103191	0.000270908	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	3.3494000000000015e-05	7.569000000000008e-06	2.18776e-05	0.000108056	0.000283668	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	4.757399999999999e-05	1.0744299999999998e-05	2.29087e-05	0.000113149	0.000297028	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	6.237100000000003e-05	1.4077300000000002e-05	2.39883e-05	0.000118484	0.000311016	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	7.791800000000001e-05	1.75745e-05	2.51189e-05	0.000124069	0.000325663	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	9.4247e-05	2.12428e-05	2.63027e-05	0.000129918	0.000341	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.00011139400000000001	2.508939999999999e-05	2.75423e-05	0.000136043	0.000357058	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.00012939399999999996	2.9121500000000002e-05	2.88403e-05	0.000142457	0.000373871	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.000148285	3.33471e-05	3.01995e-05	0.000149173	0.000391476	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.000168109	3.777420000000001e-05	3.16228e-05	0.000156207	0.000409908	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.00018890699999999999	4.24103e-05	3.31131e-05	0.000163571	0.000429208	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.000210723	4.7265800000000004e-05	3.46737e-05	0.000171284	0.000449416	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.000233604	5.23494e-05	3.63078e-05	0.000179359	0.000470574	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.000257597	5.766899999999999e-05	3.80189e-05	0.000187816	0.000492727	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.00028275399999999997	6.32364e-05	3.98107e-05	0.000196672	0.000515922	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.000309127	6.90605e-05	4.16869e-05	0.000205946	0.000540208	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.00033677299999999996	7.515219999999999e-05	4.36516e-05	0.000215657	0.000565635	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.00036574899999999996	8.15223e-05	4.57088e-05	0.000225826	0.000592257	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.000396118	8.81836e-05	4.7863e-05	0.000236476	0.000620131	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.00042794199999999995	9.514610000000001e-05	5.01187e-05	0.000247627	0.000649315	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.00046129	0.0001024227	5.24807e-05	0.000259305	0.00067987	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.00049623	0.0001100272	5.49541e-05	0.000271534	0.000711861	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.000532836	0.00011797139999999999	5.7544e-05	0.00028434	0.000745355	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0005711870000000001	0.0001262684	6.0256e-05	0.000297751	0.000780423	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.00061136	0.00013493389999999999	6.30957e-05	0.000311794	0.000817137	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.000653444	0.000143981	6.60693e-05	0.000326501	0.000855575	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0006975239999999999	0.0001534264	6.91831e-05	0.000341901	0.000895818	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0007436939999999999	0.00016328320000000003	7.24436e-05	0.000358029	0.00093795	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.000792046	0.0001735692	7.58578e-05	0.000374918	0.00098206	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0008426940000000001	0.0001842993	7.94328e-05	0.000392605	0.00102824	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0008957269999999999	0.00019549050000000002	8.31764e-05	0.000411127	0.00107659	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.000951274	0.00020716160000000002	8.70964e-05	0.000430524	0.0011272	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.001009435	0.0002193287	9.12011e-05	0.000450836	0.00118019	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.00107034	0.00023200959999999997	9.54993e-05	0.000472109	0.00123566	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.001134117	0.0002452243	0.0001	0.000494386	0.00129373	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0012008969999999998	0.00025899070000000003	0.000104713	0.000517716	0.00135453	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.001270818	0.0002733287	0.000109648	0.000542148	0.00141817	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0013440309999999999	0.0002882573	0.000114815	0.000567735	0.00148479	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.0014206849999999999	0.0003037975	0.000120226	0.000594532	0.00155454	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.00150094	0.0003199682	0.000125893	0.000622595	0.00162755	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.001584954	0.0003367913	0.000131826	0.000651985	0.00170398	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	0.001672917	0.0003542878	0.000138038	0.000682764	0.00178398	10	0.001
